Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.404927584319122236e+00	-2.945474957782684977e-01	-3.871591596944941593e-01	-3.852931650942711950e-01	-1.111164093720304752e-01	-1.222627905417439653e-01	9.685798692168835489e-01	1.126287622181354753e-01	2.014834151188796552e-01
-1.066407810030695291e+00	8.939491335376498204e-03	1.409350083159530698e-01	-2.699632261458055904e-01	1.361343945155681773e-02	1.578548358374823671e-02	8.061385592864089844e-01	-3.500933550900429958e-02	-5.450107857550263307e-02
-1.055489236367312511e+00	2.074544107848515229e-02	1.629064070098788786e-01	-1.796075880873720942e-01	1.112172186156632769e-01	1.235484414006651627e-01	7.420923272608783705e-01	-9.317507438569594402e-02	-1.554675975944093957e-01
-1.282960213535579541e+00	-1.796858829368614408e-01	-1.833775103656745953e-01	-1.179354668172744869e-01	1.776843568098400439e-01	1.962498494636558677e-01	9.466191290000595115e-01	9.290832105761485937e-02	1.665727282471473336e-01
-8.533714710287505500e-01	2.050290570220092978e-01	4.854537179805676339e-01	-3.284564052582642502e-01	-5.089351248765772162e-02	-5.945289252698772453e-02	9.297965308548534757e-01	7.765672726472812315e-02	1.398876194948567853e-01
-9.626663251069205174e-01	1.099183419993873950e-01	3.218318647786141407e-01	-9.906558720422539710e-02	1.971172089496522062e-01	2.147385135029261094e-01	8.344173295624590647e-01	-9.059163219597198349e-03	-1.059485350190545946e-02
-1.358197475992439784e+00	-2.400403888235712047e-01	-2.841184322861545763e-01	-2.376111929408719070e-01	4.627874761918113200e-02	4.479340692519095946e-02	7.245305433583603127e-01	-1.089862093430270518e-01	-1.838592129782205264e-01
-1.167475512230885526e+00	-6.790881651340699432e-02	1.573673171111104538e-02	-1.060563707225628538e-01	1.880259564234938174e-01	2.015551202420327592e-01	1.161622284294659968e+00	2.885295165967540765e-01	5.044729167422249416e-01
-1.122566152909398429e+00	-2.557936594412538178e-02	9.040911652154653977e-02	-2.379497659312602154e-01	4.422173292380505299e-02	4.012073361641852604e-02	7.596337358530848016e-01	-7.710170885254311046e-02	-1.289572805264065369e-01
-1.081411086635042818e+00	1.344505417196256714e-02	1.591594201093880501e-01	-2.661439989500000158e-01	1.267598252741436622e-02	3.784431990136460228e-03	8.302984274478891757e-01	-1.286772023837355269e-02	-1.762628621735500348e-02
-1.196928249902875718e+00	-8.701031556061220029e-02	-1.413291271424467824e-02	-1.031910852786757649e-01	1.882000154667145542e-01	1.987451435481294437e-01	7.747224650681758806e-01	-6.346398809838327271e-02	-1.052175448568104799e-01
-1.312115667878156700e+00	-1.871335608905128622e-01	-1.867771413215026932e-01	-3.948106158586428549e-01	-1.288589270898151118e-01	-1.543140355430075161e-01	7.051599057252906366e-01	-1.267829424073839417e-01	-2.148563408206715930e-01
-8.905169545859585867e-01	1.907833147273840235e-01	4.698786452509747247e-01	-1.413785643575957984e-01	1.446051724701868102e-01	1.492951576425634586e-01	9.554626628071428707e-01	1.007979623220988386e-01	1.795771083254303069e-01
-1.229713693366222271e+00	-1.087458081569333823e-01	-4.900597265441587747e-02	-2.262931200559722134e-01	5.138583183573097041e-02	4.482464422167935919e-02	6.532628402952885827e-01	-1.741033198921960456e-01	-2.961860205834853654e-01
-1.240844072544137866e+00	-1.161039619844338733e-01	-6.097952521523725133e-02	-3.483071163583401075e-01	-8.207157624776330318e-02	-1.036980010271871949e-01	1.033249199265784402e+00	1.714316810896228394e-01	3.026418848474378143e-01
-1.239644453359781906e+00	-1.124479617107709828e-01	-5.380610522792088346e-02	-2.665309477812582983e-02	2.651895020766931732e-01	2.829703193428458885e-01	6.689320562996279307e-01	-1.599590557459416862e-01	-2.711168035464850412e-01
-1.223804200091718641e+00	-9.571691706649415599e-02	-2.392921806347256958e-02	-2.877344635171894538e-01	-1.900626066889250093e-02	-3.371772932645585030e-02	8.290863645700665696e-01	-1.434696715686702845e-02	-1.845804793470456548e-02
-1.425803695279894701e+00	-2.729342508166063830e-01	-3.306654786645354949e-01	-3.727942428662623375e-01	-1.125507958027742589e-01	-1.384383037463408905e-01	1.090036528759048995e+00	2.229447797746838267e-01	3.930574847512899872e-01
-1.210927774842302629e+00	-7.889448432523604726e-02	6.666153458203928975e-03	1.189905310958547791e-01	4.188662173947868550e-01	4.517837875316937923e-01	8.141834561097834877e-01	-2.795814867649341548e-02	-4.090559433335604067e-02
-1.129540309836734702e+00	-3.693033172161963584e-03	1.377376699600328380e-01	-2.544382713042680488e-01	1.270284652413537080e-02	-1.063488636231339768e-04	9.064346230129533000e-01	5.593679481855561020e-02	1.049100736878724044e-01
-1.072708784779705438e+00	4.967663985127467041e-02	2.309873595176833994e-01	6.424656818206753162e-02	3.564563736539684835e-01	3.825381307397437980e-01	9.927887667858252829e-01	1.344831505586992493e-01	2.414499836340167349e-01
-1.292982315636899582e+00	-1.436751945884399140e-01	-1.038301284271012093e-01	-6.384361499519313199e-01	-4.065621682479308441e-01	-4.669741312448430492e-01	7.242236360255733807e-01	-1.097468771234615531e-01	-1.810844889557851056e-01
