theta1	omega1	alpha1	theta2	omega2	alpha2
7.551580383403320162e-01	-1.951074278730476896e-01	-7.643322403847292001e+00	6.197624081232440130e-01	4.320903231250056709e-01	3.274177049884696711e-01
9.722872209299882051e-01	-1.041685731335851628e+00	-8.732228941155129931e+00	2.953516301631870511e-01	5.416122247662902289e-01	4.896310377334336383e-01
1.016119403882582484e+00	-9.464039784351927498e-01	-8.369115013251560597e+00	5.450359219967839675e-01	-1.966711446868834590e-01	2.689159084365553731e+00
1.150732538289846119e+00	-1.233383293559639604e+00	-7.148369094465005347e+00	7.277013786129384876e-01	4.171216065564483655e-01	1.127258195933936502e+00
7.710791385526800656e-01	-1.185092160634849234e+00	-8.896332077543164019e+00	4.560470163854725145e-01	8.304958935843778089e-01	1.364277596898927358e+00
1.075385910340728168e+00	-8.311523371396907223e-01	-7.392781840824174111e+00	2.838706068928899540e-01	8.302944500264892724e-01	1.186253042094550514e+00
9.371747263642622450e-01	-1.204405023404206965e+00	-8.083492574318698942e+00	5.375588250395563206e-01	5.476333722243000857e-01	1.751070367209626832e+00
9.864374048546272755e-01	-9.341952651597628110e-01	-9.046586039528397905e+00	4.918457349241476262e-01	2.453165232438138110e-01	1.719412018866052216e+00
9.269218138170357557e-01	-1.754790513791433026e+00	-8.088495666727201439e+00	4.575428402987301024e-01	5.996238800484913201e-01	1.727663845588463420e+00
8.238467865882543872e-01	-1.186941994525401389e+00	-8.519612915922479601e+00	7.255733602158834783e-01	8.871012737016069627e-01	1.582785398008528244e-01
7.910161731588070122e-01	-8.405585706226109677e-01	-9.634828457684530889e+00	5.941448185833555495e-01	6.389994524757403038e-01	2.641423822642728236e+00
9.227589446400744633e-01	-1.483779179568956330e+00	-7.480268099231478729e+00	5.332484938863513158e-01	8.580627832233223007e-01	1.897956751639170658e+00
7.853211748754064248e-01	-1.897075145938678320e+00	-8.522655149678479702e+00	1.570799903552881349e-01	1.267724295422494762e+00	1.201913870210783442e+00
9.495791874091035201e-01	-6.135119255860234100e-01	-8.362514407542139594e+00	6.879245560019103811e-01	-2.763319230451567465e-01	1.713698348590606546e+00
9.218136188592218616e-01	-1.799830640419199934e+00	-8.414258903250278365e+00	5.905659598149065603e-01	4.746810042711642197e-01	-6.148593125583388108e-01
9.228321057424387908e-01	-1.411540415748497423e+00	-7.085790292734809093e+00	4.359469006378260403e-01	6.812764405433477943e-01	-1.428174972054632175e-01
7.987663363361755531e-01	-1.535000059817142271e+00	-7.589290515529363290e+00	5.220130016639875636e-01	4.821784363844714427e-01	4.346754123810832038e-01
8.737374816920517873e-01	-1.297942409299837729e+00	-8.641267077976699795e+00	5.456286856462650992e-01	3.405255085817895377e-01	3.451343737188493410e+00
8.625761477542613909e-01	-1.797732489148469837e+00	-6.414677602673530821e+00	5.196461529702054438e-01	1.272303086320771826e-01	1.864366938511815786e+00
7.244120380268446180e-01	-2.036362340409298533e+00	-7.530923752807289873e+00	5.311590246336315158e-01	2.968374090242054120e-02	1.647397648659855829e+00
8.664879823331413933e-01	-1.377691092752700408e+00	-7.737996380295399490e+00	3.631433381924749071e-01	4.462915625204733061e-02	1.154232732293873909e+00
8.763093911864988650e-01	-1.535316103561785273e+00	-7.532997305008096944e+00	5.634933883658250764e-01	2.092037056724602717e-01	9.063230996575570853e-01
1.022702997681729009e+00	-1.563547321133970103e+00	-9.036874632699419152e+00	3.631969347327437259e-01	2.306609346339363320e-01	1.568705729378182090e+00
8.907700896269534763e-01	-1.847918922666426100e+00	-9.105062034529300519e+00	6.063027445585709163e-01	8.322274132778815225e-01	2.266590995196696490e+00
6.992916565154623232e-01	-1.414289806494743562e+00	-7.311103417115570657e+00	4.916172093124914211e-01	3.026120341000471115e-01	1.299430356707386380e+00
8.259911979386134195e-01	-2.124490641028791149e+00	-7.794428079693598299e+00	5.272872239498974656e-01	1.063688395833133349e+00	7.129839132462194584e-01
6.734382742908310293e-01	-2.171964512923339807e+00	-6.967229557287721420e+00	5.403744938508612261e-01	-8.457791254359292576e-02	1.450930069586936932e+00
7.091538487682856884e-01	-2.449716022468641174e+00	-6.686634589423813502e+00	5.871512231380335844e-01	5.605667888882667205e-01	6.290419900541844855e-01
6.062543752748770221e-01	-2.059089771109988032e+00	-7.168775240449964059e+00	5.865887032965998449e-01	4.553769181510608499e-01	2.384801982179787228e-01
6.734860466972913962e-01	-1.983129591697810445e+00	-8.058460520589484588e+00	3.087575448519297994e-01	5.008701106519717339e-01	2.366014666064052419e-01
6.186137932629578451e-01	-2.251332736205464258e+00	-7.391319190351885560e+00	7.321341369263092425e-01	6.843429157424643083e-01	6.255737691098529618e-01
5.757595402763682202e-01	-1.997724548778301301e+00	-6.616054098892646174e+00	6.866076223684667301e-01	8.276851811201380027e-01	1.669261228914165507e+00
8.337328727524759842e-01	-2.098960035490136544e+00	-7.320636340278757537e+00	6.182389325343717879e-01	6.679630278656625286e-01	-2.842414250354255989e-01
7.247233890282813729e-01	-2.140359764546851729e+00	-6.884807774408594483e+00	7.081792583963891774e-01	3.815334782083115162e-01	-8.261517570674179467e-01
6.786153380906634336e-01	-2.572528945115791998e+00	-5.830256913688958598e+00	5.092620040097916023e-01	4.776606705311791101e-01	4.700263639452569864e-01
4.606518070920389007e-01	-2.380697657571515968e+00	-4.870789971047424949e+00	4.795627208394224184e-01	5.243188437251015133e-01	1.652231904135044727e-01
