Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.176088504347911012e+00	-7.787444797578102484e-02	-2.756817492775767622e-03	-2.779784475963197887e-01	2.538585364340251432e-03	-3.879936233014934233e-03	8.399522928315829029e-01	-4.012273990547560870e-03	-2.030576649781670826e-03
-1.178879042500930341e+00	-7.806352881850851799e-02	-1.881926294316178978e-03	-2.777271848728812276e-01	2.011095382103344261e-03	-5.439200246377126104e-03	8.397959005242531250e-01	-4.165596402503858077e-03	-2.513442090099380060e-03
-1.181675606339789519e+00	-7.821565311864583925e-02	-9.160450920852235496e-04	-2.775038402297586027e-01	1.362696746499381453e-03	-7.572106733232546183e-03	8.396327085513948241e-01	-4.344130435787067757e-03	-2.931603565199544792e-03
-1.184476797044561547e+00	-7.833377334418113735e-02	-7.894387002991838220e-05	-2.773153931871796818e-01	5.711564569328268261e-04	-9.685622139206373493e-03	8.394559172474503894e-01	-4.539153511587415424e-03	-3.200115326295203434e-03
-1.187281646201450380e+00	-7.842012612018758877e-02	7.712623529937769930e-04	-2.771688232651242090e-01	-3.145256684340581735e-04	-1.103078040760094650e-02	8.392791259435157247e-01	-4.750905198248845870e-03	-3.518777800747507206e-03
-1.190088862592062258e+00	-7.847009687130812594e-02	1.756453005695292596e-03	-2.770641304636914937e-01	-1.274070996130810410e-03	-1.233967691449259704e-02	8.390819356429761733e-01	-4.983345927403235939e-03	-3.883450655647337300e-03
-1.192897262599535102e+00	-7.848286529686343549e-02	2.695666970863945869e-03	-2.770082943029108513e-01	-2.357172257601056631e-03	-1.424215606455490370e-02	8.388847453424268519e-01	-5.227486324448213026e-03	-4.072887064184403313e-03
-1.195705447403942800e+00	-7.846185699706864636e-02	3.537374956787953800e-03	-2.770152738229897937e-01	-3.574438676123628533e-03	-1.633425343182123152e-02	8.386739557108109366e-01	-5.475357380021796290e-03	-4.100253126282695990e-03
-1.198512340989955849e+00	-7.840804281467531056e-02	4.423756344846774442e-03	-2.770780895038990610e-01	-4.890969876078841636e-03	-1.781267400895809871e-02	8.384563664136568395e-01	-5.728779016637029244e-03	-4.223288533710036624e-03
-1.201316652139180485e+00	-7.831749636665659431e-02	5.411032431601028002e-03	-2.772107003856973395e-01	-6.303578565107338313e-03	-1.914277759003820897e-02	8.382251777854360375e-01	-5.990109064938884537e-03	-4.422375849471197468e-03
-1.204117089633222282e+00	-7.818577205345073056e-02	6.487719329543525579e-03	-2.774131064685333992e-01	-7.822497099837573409e-03	-2.127261861046607014e-02	8.379803898261388717e-01	-6.258016534342886704e-03	-4.446923591475867611e-03
-1.206912254652154681e+00	-7.801394517557372343e-02	7.525707872321180970e-03	-2.776922872723870950e-01	-9.502545335055590306e-03	-2.376788191193366859e-02	8.377288022013035240e-01	-6.524406903589602402e-03	-4.413269803220471084e-03
-1.209700748376049795e+00	-7.780183139579423257e-02	8.561931270913812272e-03	-2.780622018375155657e-01	-1.136246945721306259e-02	-2.696771754152112524e-02	8.374636152454014715e-01	-6.785276741600804011e-03	-4.231400704706258370e-03
-1.212481064383448048e+00	-7.755081938792147966e-02	9.592722345939413975e-03	-2.785228501638692400e-01	-1.339413223129984690e-02	-2.914664356932296710e-02	8.371916286239612370e-01	-7.038421289119678285e-03	-4.171267588877855537e-03
-1.215251803854422441e+00	-7.725627614287521039e-02	1.075584833946566406e-02	-2.790881912917052565e-01	-1.556590567343819030e-02	-3.144222805960565637e-02	8.369060426714446388e-01	-7.289289024255424070e-03	-4.118492690765997860e-03
-1.218011460367513177e+00	-7.691451184374210881e-02	1.200118241138918400e-02	-2.797652047410529308e-01	-1.792227996403177384e-02	-3.450196671108040486e-02	8.366068573878613357e-01	-7.536426598925649242e-03	-4.042571121723847159e-03
-1.220758312298193982e+00	-7.652296420300694346e-02	1.334024295117675930e-02	-2.805608700320905702e-01	-2.044538222972784938e-02	-3.698340334433534299e-02	8.363008724387398507e-01	-7.784360576468986846e-03	-4.120870543417283829e-03
