theta1	omega1	alpha1	theta2	omega2	alpha2
-3.853792865473492313e+00	-1.858698805919134944e+00	1.054563597658216167e+00	-1.409816411882757414e+01	-3.421034648065317096e+00	6.192092843398768309e+00
-3.863065326041624115e+00	-1.853719547051245309e+00	9.392730813881371432e-01	-1.411517736527355815e+01	-3.390532086512762611e+00	6.020001229119998243e+00
-3.872314343151705085e+00	-1.849311489311940448e+00	8.258789610226813238e-01	-1.413204038098304416e+01	-3.360888010193784137e+00	5.848382960548633491e+00
-3.881542746872843619e+00	-1.845465140936165094e+00	7.143878727738410817e-01	-1.414875744929053880e+01	-3.332100150398867200e+00	5.677198583786093877e+00
-3.890753319527731513e+00	-1.842170995119680299e+00	6.047990749005975886e-01	-1.416533284230315637e+01	-3.304166464928123492e+00	5.506396632936457536e+00
-3.899948795565911563e+00	-1.839419543903235255e+00	4.971147225455752050e-01	-1.418177082194068461e+01	-3.277085158725294711e+00	5.335931250468092912e+00
-3.909131862444491290e+00	-1.837201274475488200e+00	3.913341695046028690e-01	-1.419807564256164945e+01	-3.250854674656383114e+00	5.165752276897819684e+00
-3.918305160122253827e+00	-1.835506687560194417e+00	2.874518006291282290e-01	-1.421425155139872132e+01	-3.225473722414913258e+00	4.995801628150957185e+00
-3.927471280666891218e+00	-1.834326313050106183e+00	1.854634631689577873e-01	-1.423030278917386404e+01	-3.200941302869524829e+00	4.826023998249638680e+00
-3.936632769306547708e+00	-1.833650700728792327e+00	8.536423411669602501e-02	-1.424623359294750102e+01	-3.177256691037392056e+00	4.656363063301569127e+00
-3.945792124249062116e+00	-1.833470430543350238e+00	-1.285358359632482461e-02	-1.426204819705699478e+01	-3.154419451925010609e+00	4.486758164732691512e+00
-3.954951796289051469e+00	-1.833776125384058764e+00	-1.091977042974576761e-01	-1.427775083373711240e+01	-3.132429460467837323e+00	4.317148773726103173e+00
-3.964114189734719407e+00	-1.834558441299658282e+00	-2.036748917278146109e-01	-1.429334573574454659e+01	-3.111286884898496918e+00	4.147476026827007445e+00
-3.973281662469959841e+00	-1.835808070937646752e+00	-2.962932437237668637e-01	-1.430883713766590226e+01	-3.090992191831650526e+00	3.977679001908654755e+00
-3.982456525649362700e+00	-1.837515751756966020e+00	-3.870613937747293676e-01	-1.432422927667873225e+01	-3.071546159007535248e+00	3.807695979189929858e+00
