# theta1	omega1	alpha1	theta2	omega2	alpha2
6.786511221161160012e-01	-6.290688704844683343e+00	-2.235926594400663880e+00	6.394945236843905256e-01	3.134995322627105452e-01	6.800789036669683263e-01
6.645707797561387631e-01	-6.121945955685191620e+00	-2.274676175616139329e+00	6.437454338646587670e-01	1.701908234692837141e-01	6.815933834893900256e-01
6.502518553744908170e-01	-5.946722561817523456e+00	-2.312351975740645216e+00	6.480029527772293019e-01	1.869845022952176805e-02	6.821875446447992486e-01
6.357011785301528439e-01	-5.765208092248258254e+00	-2.348914102401683746e+00	6.522611755030996994e-01	-1.407677945704790545e-01	6.818109143427335539e-01
6.209258223828593160e-01	-5.577645177460794912e+00	-2.384324008335464207e+00	6.565138885769710164e-01	-3.079227309303860238e-01	6.804145598186895905e-01
6.059330954275548020e-01	-5.384307448306344668e+00	-2.418544775509344991e+00	6.607545794075971868e-01	-4.824343473258636550e-01	6.779514981796993522e-01
5.907305327397623929e-01	-5.185514972499504438e+00	-2.451541319201201219e+00	6.649764466286652853e-01	-6.639023790698388439e-01	6.743770049097292940e-01
5.753258813023564011e-01	-4.981633060437502536e+00	-2.483280703275657864e+00	6.691724187170170479e-01	-8.518588266215374460e-01	6.696490778513634057e-01
5.597270858645512215e-01	-4.773061191374495138e+00	-2.513732386983680733e+00	6.733351720774058968e-01	-1.045782526259017686e+00	6.637288128057267089e-01
5.439422742671704558e-01	-4.560229221012946255e+00	-2.542868410064209161e+00	6.774571501790074279e-01	-1.245103131082885284e+00	6.565807013600598596e-01
5.279797401832196924e-01	-4.343598483998675874e+00	-2.570663604695908155e+00	6.815305864260304824e-01	-1.449198851100049978e+00	6.481729698197224998e-01
5.118479253131867912e-01	-4.123654521041316912e+00	-2.597095758323216597e+00	6.855475282010807803e-01	-1.657405441365511933e+00	6.384778580817770388e-01
4.955554004572230165e-01	-3.900898968104456799e+00	-2.622145743838053544e+00	6.894998627352775245e-01	-1.869026272451094428e+00	6.274718587924492663e-01
4.791108458318746877e-01	-3.675847582160940874e+00	-2.645797614262629160e+00	6.933793444381127768e-01	-2.083334270119166831e+00	6.151359142757839571e-01
4.625230312927108844e-01	-3.449021077103907373e+00	-2.668038658892742276e+00	6.971776228286571397e-01	-2.299583592324239589e+00	6.014555651872218744e-01
4.458007956982203979e-01	-3.220940462799489978e+00	-2.688859425221686639e+00	7.008862720208817176e-01	-2.517015441427815858e+00	5.864210577956259218e-01
4.289530269673232921e-01	-2.992120451594473707e+00	-2.708253695030768959e+00	7.044968198584755648e-01	-2.734866299979955784e+00	5.700273914309249568e-01
4.119886419932446420e-01	-2.763063461688943789e+00	-2.726218429403738153e+00	7.080007776831982458e-01	-2.952376267391201736e+00	5.522743264733187551e-01
3.949165665668912806e-01	-2.534253671133456010e+00	-2.742753671759684764e+00	7.113896705979885215e-01	-3.168795664400562373e+00	5.331663392239464061e-01
3.777457169797361902e-01	-2.306153286182507145e+00	-2.757862422516724532e+00	7.146550660465079696e-01	-3.383392740784017860e+00	5.127125344857519362e-01
3.604849822899257594e-01	-2.079194163012061836e+00	-2.771550475989206230e+00	7.177886020409390833e-01	-3.595461676228978831e+00	4.909265080089306732e-01
3.431432067539092468e-01	-1.853780764176690354e+00	-2.783826236580781099e+00	7.207820155439849108e-01	-3.804323075598318837e+00	4.678261805088043679e-01
