theta1	omega1	alpha1	theta2	omega2	alpha2
2.676287616501326738e+00	-3.276998029318938244e+00	-1.088019789704299001e+01	-2.793020853748009458e-01	-7.914351383385222150e+00	-1.470885193163667282e+01
2.659777527795426533e+00	-3.329309161148380714e+00	-1.004006749645373020e+01	-3.190333750538812407e-01	-7.984013039874477080e+00	-1.314519370108973817e+01
2.643016801334467925e+00	-3.377238243845372967e+00	-9.127932030019110243e+00	-3.590927651525617770e-01	-8.045549084056478506e+00	-1.145971062142325536e+01
2.626028204227527141e+00	-3.420445605081257057e+00	-8.152235922318823214e+00	-3.994381865943638643e-01	-8.098389269377001654e+00	-9.668551510468660126e+00
2.608836086240676533e+00	-3.458639055423994968e+00	-7.123511952185936025e+00	-4.400249403422588079e-01	-8.142054222609822034e+00	-7.791884119268615905e+00
2.591466118421767550e+00	-3.491583463468384441e+00	-6.054026029436045064e+00	-4.808061977245733920e-01	-8.176173813625835507e+00	-5.853189222435958072e+00
2.573944987448530952e+00	-3.519108830593232096e+00	-4.957500230755158555e+00	-5.217335854881745005e-01	-8.200502542884665402e+00	-3.878706779090862256e+00
2.556300055075629629e+00	-3.541116107701866689e+00	-3.848463681560360783e+00	-5.627578369223774635e-01	-8.214930405907045596e+00	-1.896135620866516547e+00
2.538558992783981338e+00	-3.557580154778110071e+00	-2.741893584039416965e+00	-6.038294883562240756e-01	-8.219488031335474787e+00	6.608583021898084553e-02
2.520749412081946694e+00	-3.568550178050105881e+00	-1.652452331354879789e+00	-6.448995809108170052e-01	-8.214346767260993332e+00	1.980307022838132980e+00
2.502898497862289240e+00	-3.574146893290014670e+00	-5.939934285347590048e-01	-6.859203518863501436e-01	-8.199812232202969398e+00	3.820645897362737742e+00
2.485032663787236196e+00	-3.574557115650929262e+00	4.209679975915605610e-01	-7.268458784607751966e-01	-8.176312775195050619e+00	5.564032537706225412e+00
2.467177240284702755e+00	-3.570026024390692498e+00	1.381657859007873412e+00	-7.676326527944499212e-01	-8.144383389986744604e+00	7.190987729893095093e+00
2.449356205577121415e+00	-3.560847708742959306e+00	2.279319971658196664e+00	-8.082400683659044516e-01	-8.104646350584221892e+00	8.686139707075653860e+00
2.431591969149671240e+00	-3.547354561095463765e+00	3.107369417816698842e+00	-8.486307995079925837e-01	-8.057789758115537992e+00	1.003848426274180383e+01
2.413905205196638093e+00	-3.529906525331087508e+00	3.861383055768101258e+00	-8.887710807818745007e-01	-8.004546030253168354e+00	1.124131510163078929e+01
2.396314742491404193e+00	-3.508880365997864459e+00	4.539018633363411936e+00	-9.286308737597787077e-01	-7.945670707753617279e+00	1.229200795334782015e+01
2.378837505851402856e+00	-3.484659739547066870e+00	5.139817819443806002e+00	-9.681839327027037534e-01	-7.881923121175208102e+00	1.319157671847096935e+01
2.361488504040831327e+00	-3.457626397193311885e+00	5.664952771876414772e+00	-1.007407780665671826e+00	-7.814049558023318021e+00	1.394412274190972312e+01
2.344280858227190123e+00	-3.428152741182495244e+00	6.116940287600300508e+00	-1.046283608777643037e+00	-7.742769331811295785e+00	1.455622913848947064e+01
2.327225865131024918e+00	-3.396595814599224106e+00	6.499356124422092762e+00	-1.084796111184038070e+00	-7.668763872497621925e+00	1.503636282126444712e+01
2.310333084809577553e+00	-3.363292778930465854e+00	6.816534913132954898e+00	-1.122933276776347133e+00	-7.592668871224133476e+00	1.539426570620707935e+01
2.293610448909659372e+00	-3.328557715505898962e+00	7.073329559207422790e+00	-1.160686145837778405e+00	-7.515069119958845967e+00	1.564046859494874298e+01
2.277064381444806163e+00	-3.292679645898727525e+00	7.274880969264131636e+00	-1.198048547854967172e+00	-7.436495774249336499e+00	1.578583853282907512e+01
2.260699926818587002e+00	-3.255921585356051029e+00	7.426429615490405922e+00	-1.235016830866970894e+00	-7.357425627473575425e+00	1.584121488916525777e+01
2.244520880207783620e+00	-3.218520420942986071e+00	7.533163676512458551e+00	-1.271589591702901423e+00	-7.278281948972380455e+00	1.581712564046392799e+01
2.228529917144851602e+00	-3.180687456433766602e+00	7.600112015749800776e+00	-1.307767412948097396e+00	-7.199436550788573363e+00	1.572359736034240996e+01
2.212728719012352574e+00	-3.142609445314520134e+00	7.632060327788167342e+00	-1.343552612706462757e+00	-7.121212709768299121e+00	1.557001145676440501e+01
2.197118092336967532e+00	-3.104449953506874582e+00	7.633494976158772261e+00	-1.378949010687638088e+00	-7.043888623041198116e+00	1.536501688213684247e+01
2.181698081295480929e+00	-3.066350989721176923e+00	7.608557773464099228e+00	-1.413961711436317215e+00	-6.967701275571751118e+00	1.511646363060208387e+01
2.166468070184541794e+00	-3.028434630029801067e+00	7.561073976607758595e+00	-1.448596909778445019e+00	-6.892850176586498456e+00	1.483148421916484949e+01
2.151426879187702035e+00	-2.990804808986045948e+00	7.494483376248808781e+00	-1.482861712444241808e+00	-6.819501319185944155e+00	1.451637206451050588e+01
2.136572851009981733e+00	-2.953549041995949143e+00	7.411910861273554474e+00	-1.516763979353145553e+00	-6.747790904258588185e+00	1.417674630218743914e+01
2.121903928745894063e+00	-2.916740117697397050e+00	7.316143056970304315e+00	-1.550312183776726860e+00	-6.677828925387447434e+00	1.381751635284445001e+01
2.107417725008206677e+00	-2.880437638590644056e+00	7.209662500206150071e+00	-1.583515290435982603e+00	-6.609702364483965198e+00	1.344296712814139028e+01
2.093111584432448602e+00	-2.844689514255079210e+00	7.094672392366646818e+00	-1.616382647361178648e+00	-6.543478237791585883e+00	1.305681872995364756e+01
2.078982638594111254e+00	-2.809533316124092739e+00	6.973113409005691210e+00	-1.648923893430959353e+00	-6.479206311691823927e+00	1.266226910331397448e+01
2.065027854512544447e+00	-2.774997514203480176e+00	6.846689209057785774e+00	-1.681148878299932425e+00	-6.416921541432817122e+00	1.226205278212728444e+01
2.051244077269211097e+00	-2.741102602873232819e+00	6.716891915375526878e+00	-1.713067593920662324e+00	-6.356646256234025572e+00	1.185849714653386400e+01
