theta1	omega1	alpha1	theta2	omega2	alpha2
9.516803419529178409e-01	-9.174645153187127589e-01	-8.606246678803302075e+00	5.398512413151133060e-01	4.610089013238824474e-01	1.590598442292957770e+00
9.469876936451896432e-01	-9.604207426864913577e-01	-8.583681860797184981e+00	5.421751350593593255e-01	4.689711649323463627e-01	1.595619992182662372e+00
9.420806494390195907e-01	-1.003260041489535181e+00	-8.559439145873852794e+00	5.445388821183131389e-01	4.769567413265282663e-01	1.599901654203051748e+00
9.369598151742398739e-01	-1.045973814132927782e+00	-8.533433063331131052e+00	5.469425889112653483e-01	4.849615650957231905e-01	1.603295150757759302e+00
9.316258406049076068e-01	-1.088553026510325816e+00	-8.505574470566443779e+00	5.493863398848969348e-01	4.929808160187543198e-01	1.605647163590560922e+00
9.260794225604703778e-01	-1.130988189231922236e+00	-8.475770057509066646e+00	5.518701922317722497e-01	5.010088930601556134e-01	1.606797605699824771e+00
9.203213054116211600e-01	-1.173269335841537808e+00	-8.443922427966185751e+00	5.543941747586156321e-01	5.090393769996361950e-01	1.606579862145991910e+00
9.143522834920084774e-01	-1.215386003522221481e+00	-8.409930403780549568e+00	5.569582837475710591e-01	5.170650017391029696e-01	1.604821708421468429e+00
9.081732054922900810e-01	-1.257327220923743605e+00	-8.373692012668357165e+00	5.595624758072007543e-01	5.250776409352879703e-01	1.601351910668142864e+00
9.017849779748362549e-01	-1.299081493254949038e+00	-8.335098934904976886e+00	5.622066620676895443e-01	5.330682884269377642e-01	1.595987775633204819e+00
8.951885652047112396e-01	-1.340636775611480092e+00	-8.294040212187951511e+00	5.648907080058346297e-01	5.410270122287982320e-01	1.588543175679035357e+00
8.883849931116650778e-01	-1.381980472130696969e+00	-8.250406151973947999e+00	5.676144270499309252e-01	5.489429560904595107e-01	1.578834045213056925e+00
8.813753518783088436e-01	-1.423099420762927059e+00	-8.204079400423893276e+00	5.703775762104502656e-01	5.568043170171145251e-01	1.566664874640594007e+00
8.741607982117679532e-01	-1.463979868068930656e+00	-8.154941838782747254e+00	5.731798521264578339e-01	5.645983078041685310e-01	1.551839156705796086e+00
8.667425595142720374e-01	-1.504607483689815561e+00	-8.102880009856448851e+00	5.760208843575508331e-01	5.723111808425217495e-01	1.534167963281845459e+00
8.591219368237108522e-01	-1.544967351203474282e+00	-8.047772756399353966e+00	5.789002304869150795e-01	5.799282151959637144e-01	1.513450582826806112e+00
8.513003069917063348e-01	-1.585043955552760675e+00	-7.989502969105046759e+00	5.818173723809817455e-01	5.874336968783879787e-01	1.489492131817769405e+00
8.432791255832254862e-01	-1.624821194655944323e+00	-7.927950877039620536e+00	5.847717113954833401e-01	5.948109354003418003e-01	1.462094023045381164e+00
8.350599300835354066e-01	-1.664282366672204194e+00	-7.862999661820140318e+00	5.877625630566625237e-01	6.020422463905721333e-01	1.431061967799450940e+00
8.266443430329193376e-01	-1.703410207174228974e+00	-7.794536788708683162e+00	5.907891518919453633e-01	6.091090050898161357e-01	1.396207855966110856e+00
8.180340747934514711e-01	-1.742186872881712478e+00	-7.722447055111615555e+00	5.938506068043460928e-01	6.159916228702446706e-01	1.357339675796254141e+00
8.092309261062662351e-01	-1.780593979438123808e+00	-7.646627459626301970e+00	5.969459567384867160e-01	6.226696004999988654e-01	1.314282651357700615e+00
8.002367909746310737e-01	-1.818612614962907381e+00	-7.566969924106842882e+00	6.000741258750154072e-01	6.291215474676734587e-01	1.266854921010178714e+00
7.910536593002300831e-01	-1.856223358492448572e+00	-7.483381961210966438e+00	6.032339291702021322e-01	6.353252078852975604e-01	1.214896445755243803e+00
7.816836188793009343e-01	-1.893406339190619514e+00	-7.395770904422988679e+00	6.064240688073674335e-01	6.412575434221710058e-01	1.158247003792553187e+00
7.721288584935731558e-01	-1.930141232892315095e+00	-7.304054429536904536e+00	6.096431290984164475e-01	6.468947287779088784e-01	1.096760821020609455e+00
7.623916687576576257e-01	-1.966407351613515209e+00	-7.208162696213889831e+00	6.128895745424906005e-01	6.522122764656544947e-01	1.030309551827599535e+00
7.524744452591729527e-01	-2.002183649351519268e+00	-7.108028070313935132e+00	6.161617446634772843e-01	6.571850453397751757e-01	9.587680091359516155e-01
7.423796889980396330e-01	-2.037448806576180882e+00	-7.003606146765491758e+00	6.194578526315447364e-01	6.617873583809624760e-01	8.820433532788456432e-01
7.321100082144440524e-01	-2.072181278855630193e+00	-6.894851513448429614e+00	6.227759819415549236e-01	6.659930706741652440e-01	8.000414374965885145e-01
7.216681197339254172e-01	-2.106359349909523893e+00	-6.781744488727099451e+00	6.261140837647435342e-01	6.697756437543804786e-01	7.127040551909544774e-01
7.110568480948273873e-01	-2.139961235476614210e+00	-6.664271576619285042e+00	6.294699774018701621e-01	6.731082907301018103e-01	6.199816487840621448e-01
7.002791282321592092e-01	-2.172965111666363303e+00	-6.542437030790551944e+00	6.328413457658170760e-01	6.759640160947835152e-01	5.218496068482068040e-01
6.893380024885461532e-01	-2.205349241552593043e+00	-6.416265480055017179e+00	6.362257387987978463e-01	6.783157938739747816e-01	4.183119610337939775e-01
6.782366228161454957e-01	-2.237092020534898307e+00	-6.285789975923307793e+00	6.396205696262553531e-01	6.801366307269222089e-01	3.093845104068009277e-01
6.669782479903174632e-01	-2.268172082335490725e+00	-6.151070934905192189e+00	6.430231177101226603e-01	6.813997168198456800e-01	1.951221423565812074e-01
6.555662425143212735e-01	-2.298568388903875270e+00	-6.012179759325590567e+00	6.464305296235505205e-01	6.820785527591873842e-01	7.559488167277095272e-02
6.440040760146988896e-01	-2.328260309985106247e+00	-5.869207651306396656e+00	6.498398191475908137e-01	6.821470622849730159e-01	-4.909852183141083515e-02
6.322953193424638574e-01	-2.357227715571855509e+00	-5.722265477034170544e+00	6.532478720484642398e-01	6.815797279765402061e-01	-1.788309601006972116e-01
6.204436419974587169e-01	-2.385451089768925836e+00	-5.571486678649307578e+00	6.566514489160569790e-01	6.803517518992854285e-01	-3.134432888803075912e-01
6.084528093371779356e-01	-2.412911605605051690e+00	-5.417011282145494988e+00	6.600471884166786429e-01	6.784391666827178646e-01	-4.527653149304455837e-01
5.963266799100066518e-01	-2.439591186089451025e+00	-5.259002895337516748e+00	6.634316104102032652e-01	6.758189287998710437e-01	-5.965927522577203490e-01
5.840692002826926021e-01	-2.465472619751742034e+00	-5.097643351481337959e+00	6.668011225294635524e-01	6.724690869071737742e-01	-7.446939415535780427e-01
5.716844002831567018e-01	-2.490539646517791361e+00	-4.933130649651957356e+00	6.701520262837074027e-01	6.683689119105065135e-01	-8.968127076853420476e-01
5.591763884994020994e-01	-2.514777027289160305e+00	-4.765673786095248943e+00	6.734805228138788236e-01	6.634990050335569656e-01	-1.052674826555858090e+00
5.465493472611819836e-01	-2.538170597389854066e+00	-4.595496400308320517e+00	6.767827195168492072e-01	6.578413868828204558e-01	-1.211982950960930339e+00
5.338075266752604353e-01	-2.560707346770504156e+00	-4.422834430597958999e+00	6.800546379316922962e-01	6.513796229089395817e-01	-1.374419420967512906e+00
5.209552389952909479e-01	-2.582375467322667539e+00	-4.247933867329720670e+00	6.832922213787832044e-01	6.440989069341056528e-01	-1.539649017027386435e+00
5.079968522574679346e-01	-2.603164404850350611e+00	-4.071048970540232403e+00	6.864913435673573039e-01	6.359861514888743850e-01	-1.707321148246080611e+00
4.949367841890803810e-01	-2.623064887776832776e+00	-3.892439774987678902e+00	6.896478170662798668e-01	6.270300485996892492e-01	-1.877072881985327513e+00
4.817794953951580750e-01	-2.642068961663272209e+00	-3.712371769417586620e+00	6.927574027386058653e-01	6.172211396085236501e-01	-2.048529192732814863e+00
4.685294831043232411e-01	-2.660170001116061833e+00	-3.531111859374050255e+00	6.958158186556453462e-01	6.065518552246765838e-01	-2.221308196138863877e+00
4.551912741454806621e-01	-2.677362720483123404e+00	-3.348928255453074598e+00	6.988187500696573240e-01	5.950165557888794643e-01	-2.395021013098130425e+00
4.417694185761320558e-01	-2.693643168090003925e+00	-3.166086629706114763e+00	7.017618587232797855e-01	5.826115490207779413e-01	-2.569277018253160350e+00
