theta1	omega1	alpha1	theta2	omega2	alpha2
3.878188370181512301e-01	-2.749181878481974373e+00	-2.439700281797513526e+00	7.127570938496810005e-01	5.248604784907640042e-01	-3.257911869852762266e+00
3.740556055125797696e-01	-2.760913823105755949e+00	-2.257423868468777073e+00	7.153376719083086588e-01	5.081573844382649696e-01	-3.429062123277645924e+00
3.602360383055366322e-01	-2.771737078773488072e+00	-2.075935490078109069e+00	7.178326808529462699e-01	4.906034310024352529e-01	-3.598498645018139541e+00
3.463646639976147856e-01	-2.781656103342626807e+00	-1.895441552182319356e+00	7.202378931159492126e-01	4.722080521752027304e-01	-3.765874174155811716e+00
3.324459867147497305e-01	-2.790676341351288947e+00	-1.716129747822378704e+00	7.225491321283055157e-01	4.529823726299956332e-01	-3.930860086190392622e+00
3.184844805436173876e-01	-2.798804137798281744e+00	-1.538174532158109287e+00	7.247622817010184182e-01	4.329391198665332174e-01	-4.093141744014303640e+00
3.044845862668063008e-01	-2.806046681756484418e+00	-1.361736461569762469e+00	7.268732923497223108e-01	4.120925630749467938e-01	-4.252419661309289722e+00
2.904507066364509504e-01	-2.812411906473096579e+00	-1.186954632341894467e+00	7.288781898357934441e-01	3.904584046742718972e-01	-4.408417849659286958e+00
2.763872029294260346e-01	-2.817908411361641718e+00	-1.013957938549083337e+00	7.307730819657995980e-01	3.680536923962864915e-01	-4.560872351317357243e+00
2.622983922761712994e-01	-2.822545394570695532e+00	-8.428539428275598766e-01	7.325541643724546859e-01	3.448967402739638310e-01	-4.709543777507690265e+00
2.481885443174964012e-01	-2.826332542335265874e+00	-6.737335444963719056e-01	7.342177275663884783e-01	3.210070002625174945e-01	-4.854212656696802242e+00
2.340618793009507925e-01	-2.829279972434935342e+00	-5.066765319722890126e-01	7.357601616892720520e-01	2.964049913895144828e-01	-4.994673666514017896e+00
2.199225660897734802e-01	-2.831398142459732981e+00	-3.417400151136007480e-01	7.371779617802869389e-01	2.711121871602835687e-01	-5.130749119569742334e+00
2.057747205706200733e-01	-2.832697764033722532e+00	-1.789703907522834925e-01	7.384677324968913492e-01	2.451509075957167827e-01	-5.262275773276400059e+00
1.916224045823060051e-01	-2.833189751077744845e+00	-1.839885339381908125e-02	7.396261917898643290e-01	2.185442481597649478e-01	-5.389110452387456007e+00
1.774696252307609856e-01	-2.832885124067282767e+00	1.399602898102330073e-01	7.406501747087144150e-01	1.913159553309205507e-01	-5.511132451787901232e+00
1.633203343349863557e-01	-2.831794956429397381e+00	2.961003862053530611e-01	7.415366364396615007e-01	1.634903496391619249e-01	-5.628232996721436621e+00
1.491784283498304720e-01	-2.829930314287468995e+00	4.500316808027946536e-01	7.422826548892914600e-01	1.350922384544115395e-01	-5.740326843379307320e+00
1.350477488190512942e-01	-2.827302185874058349e+00	6.017736389296715060e-01	7.428854328087048930e-01	1.061468140994131365e-01	-5.847343348552790587e+00
1.209320823816319168e-01	-2.823921444339951403e+00	7.513543670363560523e-01	7.433422997995857706e-01	7.667959111043795573e-02	-5.949226164454508137e+00
1.068351619566337007e-01	-2.819798790169869118e+00	8.988135847014291357e-01	7.436507133998382368e-01	4.671631506127964240e-02	-6.045937560895968232e+00
9.276066758960473113e-02	-2.814944710204406064e+00	1.044196688985039145e+00	7.438082601527944426e-01	1.628289078913469634e-02	-6.137450966993395873e+00
7.871222723263021637e-02	-2.809369446178220375e+00	1.187557113563116218e+00	7.438126565021829784e-01	-1.459467907498628036e-02	-6.223754937615519900e+00
6.469341875726224156e-02	-2.803082956235044332e+00	1.328954154610755722e+00	7.436617485703992392e-01	-4.589036882034197573e-02	-6.304850525802123684e+00
5.070777076307984160e-02	-2.796094891711187636e+00	1.468451404796041970e+00	7.433535126726841247e-01	-7.757818333948218736e-02	-6.380749247759389675e+00
3.675876448816056685e-02	-2.788414575031818554e+00	1.606116696652634346e+00	7.428860547482262211e-01	-1.096322153665120619e-01	-6.451474426953424768e+00
2.284983570783922016e-02	-2.780050982091013534e+00	1.742020946955335603e+00	7.422576096173235660e-01	-1.420266982701354208e-01	-6.517058896823314740e+00
8.984375844230894567e-03	-2.771012728438325023e+00	1.876237014133948833e+00	7.414665407250293772e-01	-1.747360521716530002e-01	-6.577544475672794988e+00
-4.834265473107314526e-03	-2.761308063881974917e+00	2.008838618175559532e+00	7.405113384467310045e-01	-2.077349268927268233e-01	-6.632981185672207403e+00
-1.860277899351193628e-02	-2.750944865259609795e+00	2.139901211857704766e+00	7.393906192249657394e-01	-2.409982429109383817e-01	-6.683427263358453274e+00
-3.231789403442843212e-02	-2.739930635748263121e+00	2.269498574770977939e+00	7.381031241718598590e-01	-2.745012272148921739e-01	-6.728946917887071777e+00
-4.597637619207230880e-02	-2.728272511279076884e+00	2.397704543421468770e+00	7.366477170643358496e-01	-3.082194437292331557e-01	-6.769611216899761530e+00
-5.957502622450670804e-02	-2.715977258011577966e+00	2.524591937050445267e+00	7.350233832444224014e-01	-3.421288288457485782e-01	-6.805497174746591327e+00
-7.311067750158031786e-02	-2.703051290698113007e+00	2.650229392890196323e+00	7.332292270043576643e-01	-3.762057110350582323e-01	-6.836685277777888814e+00
-8.658019410855680165e-02	-2.689500686146804043e+00	2.774684307698180419e+00	7.312644694093428654e-01	-4.104268332122370522e-01	-6.863261503777778216e+00
-9.998047037345676735e-02	-2.675331178780923747e+00	2.898024312063625985e+00	7.291284473083314843e-01	-4.447693879193062583e-01	-6.885318308236350049e+00
-1.133084284267821262e-01	-2.660548189001266550e+00	3.020308692875914858e+00	7.268206102845815586e-01	-4.792110269460252980e-01	-6.902947979197932682e+00
-1.265610162878784972e-01	-2.645156846941287387e+00	3.141594570959796329e+00	7.243405179362832902e-01	-5.137298737107856006e-01	-6.916247182680137939e+00
-1.397352071975699328e-01	-2.629161994779870781e+00	3.261939380417288703e+00	7.216878382442479811e-01	-5.483045514557863820e-01	-6.925318771743718571e+00
-1.528279980472819211e-01	-2.612568211594482381e+00	3.381391073291979410e+00	7.188623448357420731e-01	-5.829141933538207754e-01	-6.930264063925449136e+00
-1.658364076489345917e-01	-2.595379845388422257e+00	3.499994405579172962e+00	7.158639139045435140e-01	-6.175384463762599863e-01	-6.931187568110999564e+00
-1.787574760800762219e-01	-2.577601021595783859e+00	3.617794211148066097e+00	7.126925221195792304e-01	-6.521574924244940563e-01	-6.928199277415899360e+00
-1.915882637752766293e-01	-2.559235661658951333e+00	3.734826063755463110e+00	7.093482440788803078e-01	-6.867520610540774895e-01	-6.921407478899084253e+00
-2.043258500703009350e-01	-2.540287520984007230e+00	3.851121554003157144e+00	7.058312489595097716e-01	-7.213034268525267967e-01	-6.910922588258131327e+00
-2.169673326497494337e-01	-2.520760202243073955e+00	3.966711189867055509e+00	7.021417980735985553e-01	-7.557934243395428853e-01	-6.896859003308009051e+00
-2.295098270426121634e-01	-2.500657168656656992e+00	4.081618255305556886e+00	6.982802423504387290e-01	-7.902044618550329025e-01	-6.879330587363313043e+00
-2.419504656865731074e-01	-2.479981782727593398e+00	4.195861092715404084e+00	6.942470189462616181e-01	-8.245195166180590007e-01	-6.858452128561225436e+00
-2.542863975557373979e-01	-2.458737322308245155e+00	4.309455927643512041e+00	6.900426485450854575e-01	-8.587221448176074468e-01	-6.834341023304602913e+00
-2.665147878957475625e-01	-2.436926991609522197e+00	4.422414080972203010e+00	6.856677327457720850e-01	-8.927964938413861518e-01	-6.807115287059900766e+00
-2.786328178312915127e-01	-2.414553955773487637e+00	4.534741286051485076e+00	6.811229507322701382e-01	-9.267272984491981003e-01	-6.776892946733653389e+00
-2.906376842287717865e-01	-2.391621358538667419e+00	4.646440718175199436e+00	6.764090563861466787e-01	-9.604998868884327967e-01	-6.743793711107855415e+00
-3.025265995880391801e-01	-2.368132332633642090e+00	4.757512242786788192e+00	6.715268755477867835e-01	-9.941001900061335883e-01	-6.707938334459697671e+00
-3.142967921329720138e-01	-2.344090027638650042e+00	4.867950290803037205e+00	6.664773027709725017e-01	-1.027514739726456128e+00	-6.669447261960044671e+00
-3.259455059423040368e-01	-2.319497627768032366e+00	4.977746771934789649e+00	6.612612983068267836e-01	-1.060730672246604112e+00	-6.628442007325702434e+00
-3.374700009695009162e-01	-2.294358361287874626e+00	5.086891251958604698e+00	6.558798852784898381e-01	-1.093735734148540750e+00	-6.585045005986785327e+00
-3.488675535142628514e-01	-2.268675522945466483e+00	5.195368233595672791e+00	6.503341464570252528e-01	-1.126518281826549783e+00	-6.539378243408691560e+00
-3.601354566645802446e-01	-2.242452490964518930e+00	5.303159644651486815e+00	6.446252211470507865e-01	-1.159067282537546761e+00	-6.491564203737993921e+00
-3.712710205832992494e-01	-2.215692737339007845e+00	5.410246709810962784e+00	6.387543022405914872e-01	-1.191372317227338273e+00	-6.441726315204959974e+00
-3.822715727481324488e-01	-2.188399834984266601e+00	5.516606543841362509e+00	6.327226333376005929e-01	-1.223423583604966947e+00	-6.389987611493893382e+00
-3.931344590375872028e-01	-2.160577479659956168e+00	5.622213776669468643e+00	6.265315053338271767e-01	-1.255211893314917893e+00	-6.336471151167302196e+00
-4.038570442620362799e-01	-2.132229498103818788e+00	5.727041338458320752e+00	6.201822534262033670e-01	-1.286728673128362921e+00	-6.281300056423560818e+00
-4.144367123646006679e-01	-2.103359854579084587e+00	5.831060955696784731e+00	6.136762542330134185e-01	-1.317965964622016539e+00	-6.224597333623250961e+00
-4.248708674799460683e-01	-2.073972661754131863e+00	5.934241732228656474e+00	6.070149225840156815e-01	-1.348916423393098141e+00	-6.166485789739795109e+00
-4.351569349045335544e-01	-2.044072189524767769e+00	6.036551603874613647e+00	6.001997083679090350e-01	-1.379573317840931290e+00	-6.107087943786837059e+00
-4.452923616973100684e-01	-2.013662870833891283e+00	6.137957489981204162e+00	5.932320935618864421e-01	-1.409930527162928993e+00	-6.046525723168656441e+00
-4.552746170763164457e-01	-1.982749306365322539e+00	6.238425157806432253e+00	5.861135893843213429e-01	-1.439982538275954127e+00	-5.984920645254646843e+00
-4.651011939554544061e-01	-1.951336270533024386e+00	6.337919466444532191e+00	5.788457329508027716e-01	-1.469724444137899377e+00	-5.922393696047492995e+00
-4.747696097228361056e-01	-1.919428714747535514e+00	6.436404642714364854e+00	5.714300843018828013e-01	-1.499151940204232814e+00	-5.859065054199618316e+00
-4.842774066615762041e-01	-1.887031771364124477e+00	6.533844123194626263e+00	5.638682236268888204e-01	-1.528261318988963779e+00	-5.795053648865291507e+00
-4.936221530831126358e-01	-1.854150755087044189e+00	6.630201471134228086e+00	5.561617481778370342e-01	-1.557049466116838810e+00	-5.730477951717602991e+00
-5.028014445513373509e-01	-1.820791163243207889e+00	6.725440047005577071e+00	5.483122691660242687e-01	-1.585513856028816448e+00	-5.665455214295093356e+00
-5.118129046228410139e-01	-1.786958676829347503e+00	6.819522733492476618e+00	5.403214089270058640e-01	-1.613652545536905292e+00	-5.600101172071958899e+00
-5.206541853028865408e-01	-1.752659162997191489e+00	6.912412682823173782e+00	5.321907982926543657e-01	-1.641464165641261186e+00	-5.534530264208910921e+00
-5.293229685794074157e-01	-1.717898670194181188e+00	7.004073786029039184e+00	5.239220733709076816e-01	-1.668947916573625401e+00	-5.468855689387510211e+00
-5.378169672697749037e-01	-1.682683426707012098e+00	7.094470181496490113e+00	5.155168727510616167e-01	-1.696103559737002886e+00	-5.403188917953684722e+00
-5.461339255810496729e-01	-1.647019841838080811e+00	7.183565337513755367e+00	5.069768349696639476e-01	-1.722931407759484390e+00	-5.337639165851214784e+00
-5.542716200586492725e-01	-1.610914502521621605e+00	7.271324791295228351e+00	4.983035957257292980e-01	-1.749432315487052358e+00	-5.272314315135758989e+00
-5.622278607829768182e-01	-1.574374166695371224e+00	7.357714493513981324e+00	4.894987849445048833e-01	-1.775607671351274730e+00	-5.207320056395587926e+00
-5.700004920814563114e-01	-1.537405761404980087e+00	7.442700292684662600e+00	4.805640242561446396e-01	-1.801459385999074847e+00	-5.142759583341899088e+00
-5.775873929812748164e-01	-1.500016385206055514e+00	7.526248865598176963e+00	4.715009248136355913e-01	-1.826989878780159726e+00	-5.078733716613783145e+00
-5.849864785476565077e-01	-1.462213295456022299e+00	7.608329053538454900e+00	4.623110842260310105e-01	-1.852202068200928808e+00	-5.015341156730755756e+00
-5.921957006530346179e-01	-1.424003904165749068e+00	7.688910377117963435e+00	4.529960841138291894e-01	-1.877099358760335956e+00	-4.952677832997665064e+00
-5.992130487060430832e-01	-1.385395774378141764e+00	7.767961872608225349e+00	4.435574877685939388e-01	-1.901685626774126892e+00	-4.890836384891372290e+00
