No,TIME,Vel_TX@StRq2,Vel_TY@StRq2,Vel_TZ@StRq2
181,3.6000000e-03,-1.3114656e+02,3.1151564e-01,-1.0365656e+00
182,3.6200000e-03,-1.3188509e+02,3.1830951e-01,-1.0317575e+00
183,3.6400000e-03,-1.3262266e+02,3.2506193e-01,-1.0271449e+00
184,3.6600000e-03,-1.3335926e+02,3.3177113e-01,-1.0227271e+00
185,3.6800000e-03,-1.3409488e+02,3.3843540e-01,-1.0185034e+00
186,3.7000000e-03,-1.3482951e+02,3.4505305e-01,-1.0144732e+00
187,3.7200000e-03,-1.3556314e+02,3.5162230e-01,-1.0106355e+00
188,3.7400000e-03,-1.3629566e+02,3.5857513e-01,-1.0078656e+00
189,3.7600000e-03,-1.3702696e+02,3.6532666e-01,-1.0054798e+00
190,3.7800000e-03,-1.3775702e+02,3.7183562e-01,-1.0033078e+00
191,3.8000000e-03,-1.3848589e+02,3.7813698e-01,-1.0013003e+00
192,3.8200000e-03,-1.3921360e+02,3.8426691e-01,-9.9944108e-01
193,3.8400000e-03,-1.3994019e+02,3.9025425e-01,-9.9772513e-01
194,3.8600000e-03,-1.4066568e+02,3.9612121e-01,-9.9615189e-01
195,3.8800000e-03,-1.4139006e+02,4.0188465e-01,-9.9472254e-01
196,3.9000000e-03,-1.4211335e+02,4.0755718e-01,-9.9343891e-01
197,3.9200000e-03,-1.4283555e+02,4.1314804e-01,-9.9230291e-01
198,3.9400000e-03,-1.4355664e+02,4.1866382e-01,-9.9131627e-01
199,3.9600000e-03,-1.4427661e+02,4.2410905e-01,-9.9048047e-01
200,3.9800000e-03,-1.4499546e+02,4.2948671e-01,-9.8979672e-01
201,4.0000000e-03,-1.4571318e+02,4.3479861e-01,-9.8926600e-01
202,4.0200000e-03,-1.4642975e+02,4.4004572e-01,-9.8888907e-01
203,4.0400000e-03,-1.4714516e+02,4.4522836e-01,-9.8866654e-01
204,4.0600000e-03,-1.4785941e+02,4.5034640e-01,-9.8859886e-01
205,4.0800000e-03,-1.4857247e+02,4.5539939e-01,-9.8868639e-01
206,4.1000000e-03,-1.4928433e+02,4.6038665e-01,-9.8892936e-01
207,4.1200000e-03,-1.4999499e+02,4.6530732e-01,-9.8932796e-01
208,4.1400000e-03,-1.5070444e+02,4.7016045e-01,-9.8988228e-01
209,4.1600000e-03,-1.5141265e+02,4.7494499e-01,-9.9059237e-01
210,4.1800000e-03,-1.5211962e+02,4.7965987e-01,-9.9145823e-01
211,4.2000000e-03,-1.5282534e+02,4.8430398e-01,-9.9247981e-01
212,4.2200000e-03,-1.5352979e+02,4.8887619e-01,-9.9365702e-01
213,4.2400000e-03,-1.5423297e+02,4.9471489e-01,-9.9485296e-01
214,4.2600000e-03,-1.5493483e+02,5.0043552e-01,-9.9615266e-01
215,4.2800000e-03,-1.5563535e+02,5.0586394e-01,-9.9759275e-01
216,4.3000000e-03,-1.5633452e+02,5.1102623e-01,-9.9919029e-01
217,4.3200000e-03,-1.5703235e+02,5.1596474e-01,-1.0009521e+00
218,4.3400000e-03,-1.5772882e+02,5.2071160e-01,-1.0028798e+00
219,4.3600000e-03,-1.5842393e+02,5.2528942e-01,-1.0049728e+00
220,4.3800000e-03,-1.5911768e+02,5.2971460e-01,-1.0072296e+00
221,4.4000000e-03,-1.5981006e+02,5.3399967e-01,-1.0096487e+00
222,4.4200000e-03,-1.6050105e+02,5.3815454e-01,-1.0122286e+00
223,4.4400000e-03,-1.6119067e+02,5.4218715e-01,-1.0149683e+00
224,4.4600000e-03,-1.6187888e+02,5.4610382e-01,-1.0178665e+00
225,4.4800000e-03,-1.6256569e+02,5.4990956e-01,-1.0209224e+00
226,4.5000000e-03,-1.6325108e+02,5.5360828e-01,-1.0241351e+00
227,4.5200000e-03,-1.6393505e+02,5.5720298e-01,-1.0275036e+00
228,4.5400000e-03,-1.6461758e+02,5.6069594e-01,-1.0310272e+00
229,4.5600000e-03,-1.6529866e+02,5.6408886e-01,-1.0347050e+00
230,4.5800000e-03,-1.6597828e+02,5.6738298e-01,-1.0385361e+00
231,4.6000000e-03,-1.6665643e+02,5.7057916e-01,-1.0425199e+00
232,4.6200000e-03,-1.6733310e+02,5.7367802e-01,-1.0466555e+00
233,4.6400000e-03,-1.6800828e+02,5.7667992e-01,-1.0509422e+00
234,4.6600000e-03,-1.6868195e+02,5.7958508e-01,-1.0553791e+00
235,4.6800000e-03,-1.6935412e+02,5.8239358e-01,-1.0599655e+00
236,4.7000000e-03,-1.7002477e+02,5.8510540e-01,-1.0647007e+00
237,4.7200000e-03,-1.7069388e+02,5.8772045e-01,-1.0695839e+00
238,4.7400000e-03,-1.7136147e+02,5.9024292e-01,-1.0746143e+00
239,4.7600000e-03,-1.7202754e+02,5.9267389e-01,-1.0797934e+00
240,4.7800000e-03,-1.7269206e+02,5.9500759e-01,-1.0851193e+00
241,4.8000000e-03,-1.7335500e+02,5.9723975e-01,-1.0905899e+00
242,4.8200000e-03,-1.7401634e+02,5.9936902e-01,-1.0962035e+00
243,4.8400000e-03,-1.7467607e+02,6.0139604e-01,-1.1019594e+00
244,4.8600000e-03,-1.7533418e+02,6.0332225e-01,-1.1078570e+00
245,4.8800000e-03,-1.7599067e+02,6.0514893e-01,-1.1138957e+00
246,4.9000000e-03,-1.7664553e+02,6.0687697e-01,-1.1200753e+00
247,4.9200000e-03,-1.7729875e+02,6.0850676e-01,-1.1263950e+00
248,4.9400000e-03,-1.7795032e+02,6.1003831e-01,-1.1328543e+00
249,4.9600000e-03,-1.7860025e+02,6.1147141e-01,-1.1394524e+00
250,4.9800000e-03,-1.7924851e+02,6.1280575e-01,-1.1461886e+00
251,5.0000000e-03,-1.7989510e+02,6.1404094e-01,-1.1530619e+00
252,5.0200000e-03,-1.8054002e+02,6.1517665e-01,-1.1600716e+00
253,5.0400000e-03,-1.8118324e+02,6.1621256e-01,-1.1672168e+00
254,5.0600000e-03,-1.8182476e+02,6.1714840e-01,-1.1744965e+00
255,5.0800000e-03,-1.8246458e+02,6.1798396e-01,-1.1819099e+00
256,5.1000000e-03,-1.8310267e+02,6.1871906e-01,-1.1894561e+00
257,5.1200000e-03,-1.8373904e+02,6.1935357e-01,-1.1971340e+00
258,5.1400000e-03,-1.8437367e+02,6.1988738e-01,-1.2049429e+00
259,5.1600000e-03,-1.8500655e+02,6.2032044e-01,-1.2128817e+00
260,5.1800000e-03,-1.8563768e+02,6.2065270e-01,-1.2209495e+00
261,5.2000000e-03,-1.8626704e+02,6.2088415e-01,-1.2291452e+00
262,5.2200000e-03,-1.8689462e+02,6.2101481e-01,-1.2374680e+00
263,5.2400000e-03,-1.8752042e+02,6.2104471e-01,-1.2459168e+00
264,5.2600000e-03,-1.8814442e+02,6.2097391e-01,-1.2544906e+00
265,5.2800000e-03,-1.8876662e+02,6.2080250e-01,-1.2631884e+00
266,5.3000000e-03,-1.8938700e+02,6.2053057e-01,-1.2720091e+00
267,5.3200000e-03,-1.9000557e+02,6.2015827e-01,-1.2809516e+00
268,5.3400000e-03,-1.9062230e+02,6.1968574e-01,-1.2900150e+00
269,5.3600000e-03,-1.9123719e+02,6.1911302e-01,-1.2991982e+00
270,5.3800000e-03,-1.9185024e+02,6.1844012e-01,-1.3085004e+00
271,5.4000000e-03,-1.9246142e+02,6.1766640e-01,-1.3179197e+00
272,5.4200000e-03,-1.9307075e+02,6.1679197e-01,-1.3274550e+00
273,5.4400000e-03,-1.9367821e+02,6.1581574e-01,-1.3371032e+00
274,5.4600000e-03,-1.9428380e+02,6.1473780e-01,-1.3468622e+00
275,5.4800000e-03,-1.9488751e+02,6.1355914e-01,-1.3567310e+00
276,5.5000000e-03,-1.9548935e+02,6.1227728e-01,-1.3667028e+00
277,5.5200000e-03,-1.9608931e+02,6.1089345e-01,-1.3767749e+00
278,5.5400000e-03,-1.9668745e+02,6.0912706e-01,-1.3863457e+00
279,5.5600000e-03,-1.9728374e+02,6.0737025e-01,-1.3958681e+00
280,5.5800000e-03,-1.9787819e+02,6.0564431e-01,-1.4054532e+00
281,5.6000000e-03,-1.9847078e+02,6.0392183e-01,-1.4151331e+00
282,5.6200000e-03,-1.9906150e+02,6.0217813e-01,-1.4249183e+00
283,5.6400000e-03,-1.9965033e+02,6.0038696e-01,-1.4347961e+00
284,5.6600000e-03,-2.0023727e+02,5.9853702e-01,-1.4447612e+00
285,5.6800000e-03,-2.0082233e+02,5.9662294e-01,-1.4548120e+00
286,5.7000000e-03,-2.0140549e+02,5.9464144e-01,-1.4649472e+00
287,5.7200000e-03,-2.0198675e+02,5.9258995e-01,-1.4751653e+00
288,5.7400000e-03,-2.0256611e+02,5.9045362e-01,-1.4854399e+00
289,5.7600000e-03,-2.0314357e+02,5.8823440e-01,-1.4957636e+00
290,5.7800000e-03,-2.0371914e+02,5.8593639e-01,-1.5061340e+00
291,5.8000000e-03,-2.0429282e+02,5.8356339e-01,-1.5165502e+00
