No,TIME,Acc_TX@StRq3,Acc_TY@StRq3,Acc_TZ@StRq3
105,2.0800000e-03,-3.9239018e+04,4.8949882e+01,7.6114164e+02
106,2.1000000e-03,-3.9209405e+04,6.3451154e+01,7.6162709e+02
107,2.1200000e-03,-3.9180374e+04,7.7155463e+01,7.6165913e+02
108,2.1400000e-03,-3.9148101e+04,1.0970923e+02,7.2164581e+02
109,2.1600000e-03,-3.9112022e+04,1.2252271e+02,6.9751165e+02
110,2.1800000e-03,-3.9075215e+04,1.2599229e+02,6.8672407e+02
111,2.2000000e-03,-3.9039996e+04,1.2749121e+02,6.8266734e+02
112,2.2200000e-03,-3.9007326e+04,1.2967139e+02,6.8147497e+02
113,2.2400000e-03,-3.8977273e+04,1.3310599e+02,6.8131116e+02
114,2.2600000e-03,-3.8949495e+04,1.3770567e+02,6.8135193e+02
115,2.2800000e-03,-3.8923540e+04,1.4323265e+02,6.8123284e+02
116,2.3000000e-03,-3.8898980e+04,1.4945116e+02,6.8079680e+02
117,2.3200000e-03,-3.8875462e+04,1.5616088e+02,6.7998238e+02
118,2.3400000e-03,-3.8852713e+04,1.6319893e+02,6.7877323e+02
119,2.3600000e-03,-3.8830523e+04,1.7043517e+02,6.7717402e+02
120,2.3800000e-03,-3.8808738e+04,1.7776694e+02,6.7519878e+02
121,2.4000000e-03,-3.8787242e+04,1.8511434e+02,6.7286503e+02
122,2.4200000e-03,-3.8769811e+04,1.7350641e+02,7.0841054e+02
123,2.4400000e-03,-3.8757446e+04,1.8048839e+02,7.2740726e+02
124,2.4600000e-03,-3.8746608e+04,1.9567283e+02,7.3289196e+02
125,2.4800000e-03,-3.8734655e+04,2.1198590e+02,7.3140002e+02
126,2.5000000e-03,-3.8720466e+04,2.2696901e+02,7.2663093e+02
127,2.5200000e-03,-3.8703919e+04,2.4011338e+02,7.2033551e+02
128,2.5400000e-03,-3.8685339e+04,2.5152635e+02,7.1331029e+02
129,2.5600000e-03,-3.8665166e+04,2.6145770e+02,7.0591829e+02
130,2.5800000e-03,-3.8643803e+04,2.7015865e+02,6.9832552e+02
131,2.6000000e-03,-3.8621569e+04,2.7784728e+02,6.9060652e+02
132,2.6200000e-03,-3.8598694e+04,2.8470413e+02,6.8279279e+02
133,2.6400000e-03,-3.8575334e+04,2.9087535e+02,6.7489584e+02
134,2.6600000e-03,-3.8551591e+04,2.9647764e+02,6.6691849e+02
135,2.6800000e-03,-3.8527527e+04,3.0160312e+02,6.5886031e+02
136,2.7000000e-03,-3.8503174e+04,3.0632392e+02,6.5072019e+02
137,2.7200000e-03,-3.8478549e+04,3.1069626e+02,6.4249747e+02
138,2.7400000e-03,-3.8453654e+04,3.1476382e+02,6.3419226e+02
139,2.7600000e-03,-3.8424739e+04,3.3626774e+02,5.9010741e+02
140,2.7800000e-03,-3.8390345e+04,3.3997097e+02,5.6131249e+02
141,2.8000000e-03,-3.8354148e+04,3.3568995e+02,5.4477770e+02
142,2.8200000e-03,-3.8318837e+04,3.3000753e+02,5.3441031e+02
143,2.8400000e-03,-3.8285480e+04,3.2523356e+02,5.2675374e+02
144,2.8600000e-03,-3.8254426e+04,2.6987568e+02,5.1490128e+02
145,2.8800000e-03,-3.8226421e+04,2.5179331e+02,5.0489770e+02
146,2.9000000e-03,-3.8200072e+04,2.5381086e+02,4.9683853e+02
147,2.9200000e-03,-3.8174259e+04,2.6210534e+02,4.8997432e+02
148,2.9400000e-03,-3.8148319e+04,2.7119529e+02,4.8366027e+02
149,2.9600000e-03,-3.8121912e+04,2.7949666e+02,4.7748784e+02
150,2.9800000e-03,-3.8094883e+04,2.8675333e+02,4.7124166e+02
151,3.0000000e-03,-3.8067185e+04,2.9305460e+02,4.6482959e+02
152,3.0200000e-03,-3.8038828e+04,2.9853664e+02,4.5822609e+02
153,3.0400000e-03,-3.8009839e+04,3.0331637e+02,4.5143595e+02
154,3.0600000e-03,-3.7980253e+04,3.0748798e+02,4.4447455e+02
155,3.0800000e-03,-3.7950098e+04,3.1112955e+02,4.3735880e+02
156,3.1000000e-03,-3.7919394e+04,3.1430771e+02,4.3010375e+02
157,3.1200000e-03,-3.7888154e+04,3.1707976e+02,4.2272195e+02
158,3.1400000e-03,-3.7856382e+04,3.1949459e+02,4.1522377e+02
159,3.1600000e-03,-3.7827670e+04,3.0515528e+02,4.4083951e+02
160,3.1800000e-03,-3.7803670e+04,3.0711171e+02,4.5164147e+02
161,3.2000000e-03,-3.7780577e+04,3.1591147e+02,4.5093477e+02
162,3.2200000e-03,-3.7755675e+04,3.2548318e+02,4.4445456e+02
163,3.2400000e-03,-3.7727915e+04,3.3375509e+02,4.3538986e+02
164,3.2600000e-03,-3.7697267e+04,3.4032171e+02,4.2523747e+02
165,3.2800000e-03,-3.7664128e+04,3.4530643e+02,4.1467187e+02
