No,TIME,Pos_TX@StRq1,Pos_TY@StRq1,Pos_TZ@StRq1
117,2.3200000e-03,1.2413716e+01,-4.2998993e+01,1.1499647e+02
118,2.3400000e-03,1.2412060e+01,-4.2998995e+01,1.1499643e+02
119,2.3600000e-03,1.2410388e+01,-4.2998996e+01,1.1499640e+02
120,2.3800000e-03,1.2408700e+01,-4.2998997e+01,1.1499637e+02
121,2.4000000e-03,1.2406997e+01,-4.2998998e+01,1.1499633e+02
122,2.4200000e-03,1.2405278e+01,-4.2998999e+01,1.1499630e+02
123,2.4400000e-03,1.2403544e+01,-4.2999000e+01,1.1499627e+02
124,2.4600000e-03,1.2401794e+01,-4.2999001e+01,1.1499624e+02
125,2.4800000e-03,1.2400029e+01,-4.2999002e+01,1.1499621e+02
126,2.5000000e-03,1.2398248e+01,-4.2999003e+01,1.1499617e+02
127,2.5200000e-03,1.2396452e+01,-4.2999004e+01,1.1499614e+02
128,2.5400000e-03,1.2394640e+01,-4.2999004e+01,1.1499611e+02
129,2.5600000e-03,1.2392813e+01,-4.2999005e+01,1.1499608e+02
130,2.5800000e-03,1.2390971e+01,-4.2999005e+01,1.1499605e+02
131,2.6000000e-03,1.2389113e+01,-4.2999005e+01,1.1499602e+02
132,2.6200000e-03,1.2387239e+01,-4.2999005e+01,1.1499599e+02
133,2.6400000e-03,1.2385351e+01,-4.2999005e+01,1.1499596e+02
134,2.6600000e-03,1.2383446e+01,-4.2999005e+01,1.1499593e+02
135,2.6800000e-03,1.2381527e+01,-4.2999005e+01,1.1499591e+02
136,2.7000000e-03,1.2379591e+01,-4.2999005e+01,1.1499588e+02
137,2.7200000e-03,1.2377641e+01,-4.2999004e+01,1.1499585e+02
138,2.7400000e-03,1.2375675e+01,-4.2999003e+01,1.1499582e+02
139,2.7600000e-03,1.2373694e+01,-4.2999003e+01,1.1499579e+02
140,2.7800000e-03,1.2371697e+01,-4.2999002e+01,1.1499576e+02
141,2.8000000e-03,1.2369685e+01,-4.2999001e+01,1.1499574e+02
142,2.8200000e-03,1.2367658e+01,-4.2999000e+01,1.1499571e+02
143,2.8400000e-03,1.2365615e+01,-4.2998998e+01,1.1499568e+02
144,2.8600000e-03,1.2363558e+01,-4.2998997e+01,1.1499566e+02
145,2.8800000e-03,1.2361484e+01,-4.2998996e+01,1.1499563e+02
146,2.9000000e-03,1.2359396e+01,-4.2998994e+01,1.1499560e+02
147,2.9200000e-03,1.2357292e+01,-4.2998992e+01,1.1499558e+02
