theta1	omega1	alpha1	theta2	omega2	alpha2
3.581679122465575738e+00	-1.326057334614869854e+00	5.912980144270051142e+00	-3.886909078367208892e-01	-3.148962216557130489e+00	-1.176550988326400926e+01
3.654667133145927060e+00	-4.910780485759849157e-01	-1.511627576093356495e+01	-2.856210496758675443e+00	-3.794762723199920806e+00	-2.602107724514141296e+01
2.348098298514705196e+00	-9.302864716170390347e-01	-1.018610640958916491e+01	3.651276423761531942e-01	-4.289825387683688263e+00	-2.223363455659710297e+01
4.843228604482946231e+00	-1.639662330936213275e+00	-1.156086862118350922e+01	-4.653459468107199459e-01	-1.408633628464578624e+00	4.517597673449358808e+00
4.220047774851909850e+00	-1.268028771148998812e+00	-9.921657365506849402e+00	-2.395557234724118523e+00	-3.829948378447478152e+00	-2.187802382663076273e+01
1.940416172058170741e+00	-1.675279856734657624e+00	-8.230292392390703426e+00	6.312044518784689195e+00	-6.412174198956291704e+00	-8.655478960771286978e+00
3.052736260515460209e+00	-1.367717924725041057e+00	-1.318672575700539085e+00	3.426238026818316129e+00	-4.928099898203989859e+00	-3.433121669097996431e+00
3.321098706040035431e+00	-1.243569987590738446e+00	-1.050364076864149432e+01	-1.113390702508063601e-01	-6.305403061159297273e+00	-1.731496275099798865e+01
3.567468814468179428e+00	-1.972692792408373474e+00	-1.871331057771783790e+01	1.588912136753205528e+00	-6.504869630832823546e+00	-1.900903138247790380e+01
2.907016108762147333e+00	-2.582615313830311621e+00	-4.005096410215303493e+00	-7.570463593003829983e-01	-2.689404759037859360e+00	-9.291491392749007261e+00
2.248174025844459578e+00	-2.251265126084816881e+00	-1.256286745064807242e+01	2.618771477468452957e+00	-4.818972623723502657e+00	-1.828640653266920069e+01
4.694984563392413435e+00	-1.444255485824151863e+00	-1.987653246177970345e+01	1.442200636349361353e+00	-7.178578281396955418e+00	-2.620813660756823538e+01
2.739336145268509881e+00	-2.710245394830163690e+00	-1.528790701465348079e+01	3.042946906984450806e+00	-1.005082313565086949e+01	4.496872101698489388e+00
